has_ligand,n_bonds,bond_C01-NZ,bond_C-N1,bond_C2-SG,n01_catcys_sg,n01_nearest_cys,n01_nearest_cys_d,catcys_is_nearest,in_attack_range,thio_species,thio_c_s,thio_planarity,thio_has_oxt,n01_thio_c,iface_res_8A,chains,job,sample,model,iptm,ptm,ranking_score,nearest_lys_nz_d,nearest_lys_resi,bond_C-N01,bond_C2-N01,job_base,is_seed,sample_id
True,3,0.923,1.232,1.697,4.061,B/91,4.061,True,False,UBGG,1.697,338.6,False,2.665,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-10_sample-0,sumo2_k11_charged_ube2w/seed-10_sample-0/model.cif,0.62,0.73,0.66,,,,,sumo2_k11_charged_ube2w,True,seed-10_sample-0
True,3,0.901,1.446,1.704,3.878,B/91,3.878,True,True,UBGG,1.704,339.1,False,2.78,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-10_sample-1,sumo2_k11_charged_ube2w/seed-10_sample-1/model.cif,0.63,0.74,0.68,,,,,sumo2_k11_charged_ube2w,True,seed-10_sample-1
True,3,0.946,1.413,1.701,4.457,B/91,4.457,True,False,UBGG,1.701,339.5,False,3.094,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-10_sample-2,sumo2_k11_charged_ube2w/seed-10_sample-2/model.cif,0.65,0.75,0.7,,,,,sumo2_k11_charged_ube2w,True,seed-10_sample-2
True,3,0.897,1.238,1.7,4.881,B/91,4.881,True,False,UBGG,1.7,337.9,False,3.455,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-10_sample-3,sumo2_k11_charged_ube2w/seed-10_sample-3/model.cif,0.6,0.71,0.65,,,,,sumo2_k11_charged_ube2w,True,seed-10_sample-3
True,3,1.146,1.263,1.734,4.45,B/91,4.45,True,False,UBGG,1.734,337.3,False,3.251,15,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-10_sample-4,sumo2_k11_charged_ube2w/seed-10_sample-4/model.cif,0.65,0.75,0.69,,,,,sumo2_k11_charged_ube2w,True,seed-10_sample-4
True,3,1.097,1.322,1.726,4.142,B/91,4.142,True,False,UBGG,1.726,338.8,False,3.104,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-11_sample-0,sumo2_k11_charged_ube2w/seed-11_sample-0/model.cif,0.64,0.75,0.68,,,,,sumo2_k11_charged_ube2w,True,seed-11_sample-0
True,3,0.817,1.258,1.695,4.116,B/91,4.116,True,False,UBGG,1.695,339.0,False,2.954,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-11_sample-1,sumo2_k11_charged_ube2w/seed-11_sample-1/model.cif,0.6,0.72,0.65,,,,,sumo2_k11_charged_ube2w,True,seed-11_sample-1
True,3,0.961,1.339,1.714,4.734,B/91,4.734,True,False,UBGG,1.714,338.7,False,3.409,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-11_sample-2,sumo2_k11_charged_ube2w/seed-11_sample-2/model.cif,0.61,0.73,0.66,,,,,sumo2_k11_charged_ube2w,True,seed-11_sample-2
True,3,0.94,1.337,1.716,4.858,B/91,4.858,True,False,UBGG,1.716,339.3,False,3.447,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-11_sample-3,sumo2_k11_charged_ube2w/seed-11_sample-3/model.cif,0.62,0.73,0.66,,,,,sumo2_k11_charged_ube2w,True,seed-11_sample-3
True,3,0.956,1.266,1.691,4.838,B/91,4.838,True,False,UBGG,1.691,339.2,False,3.429,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_charged_ube2w,seed-11_sample-4,sumo2_k11_charged_ube2w/seed-11_sample-4/model.cif,0.59,0.72,0.65,,,,,sumo2_k11_charged_ube2w,True,seed-11_sample-4
