job,model,aden_centroid,aden_nearest,cys632
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-10_sample-0__model.cif,7.71,4.33,31.12
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-10_sample-1__model.cif,7.72,4.18,32.75
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-10_sample-2__model.cif,7.72,4.3,31.12
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-10_sample-3__model.cif,7.72,4.39,31.13
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-10_sample-4__model.cif,7.63,4.3,30.91
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-11_sample-0__model.cif,7.66,4.12,31.17
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-11_sample-1__model.cif,7.68,4.21,30.98
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-11_sample-2__model.cif,7.71,4.14,31.23
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-11_sample-3__model.cif,7.68,4.11,30.83
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-11_sample-4__model.cif,7.77,4.29,32.58
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-12_sample-0__model.cif,7.52,4.1,32.93
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-12_sample-1__model.cif,7.64,4.04,32.8
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-12_sample-2__model.cif,7.59,4.29,32.54
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-12_sample-3__model.cif,7.74,4.17,30.62
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-12_sample-4__model.cif,7.64,4.22,32.59
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-13_sample-0__model.cif,7.7,4.27,32.9
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-13_sample-1__model.cif,7.74,4.26,32.76
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-13_sample-2__model.cif,7.77,4.18,30.94
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-13_sample-3__model.cif,7.79,4.28,31.07
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-13_sample-4__model.cif,7.76,4.34,31.11
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-14_sample-0__model.cif,7.75,4.2,32.58
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-14_sample-1__model.cif,7.66,4.12,32.39
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-14_sample-2__model.cif,7.68,4.24,31.1
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-14_sample-3__model.cif,7.74,4.14,30.87
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-14_sample-4__model.cif,7.76,4.21,30.75
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-15_sample-0__model.cif,7.82,4.34,30.9
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-15_sample-1__model.cif,7.59,4.18,32.89
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-15_sample-2__model.cif,7.53,4.19,32.88
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-15_sample-3__model.cif,7.74,4.36,32.65
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-15_sample-4__model.cif,7.79,4.23,32.86
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-16_sample-0__model.cif,7.75,4.25,32.65
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-16_sample-1__model.cif,7.67,4.21,32.86
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-16_sample-2__model.cif,7.69,4.3,30.79
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-16_sample-3__model.cif,7.76,4.21,30.85
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-16_sample-4__model.cif,7.63,4.13,32.62
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-17_sample-0__model.cif,7.71,4.3,30.89
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-17_sample-1__model.cif,7.64,4.15,30.9
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-17_sample-2__model.cif,7.52,4.13,31.24
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-17_sample-3__model.cif,7.6,4.17,30.92
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-17_sample-4__model.cif,7.52,4.24,31.08
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-18_sample-0__model.cif,7.77,4.16,30.45
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-18_sample-1__model.cif,7.65,4.26,30.82
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-18_sample-2__model.cif,7.62,4.25,32.89
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-18_sample-3__model.cif,7.73,4.17,30.83
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-18_sample-4__model.cif,7.65,4.16,30.73
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-19_sample-0__model.cif,7.75,4.23,32.9
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-19_sample-1__model.cif,7.7,4.26,32.9
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-19_sample-2__model.cif,7.59,4.37,32.77
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-19_sample-3__model.cif,7.68,4.37,31.04
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-19_sample-4__model.cif,7.71,4.21,31.09
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-1_sample-0__model.cif,7.66,4.11,30.92
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-1_sample-1__model.cif,7.75,4.23,32.82
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-1_sample-2__model.cif,7.59,4.18,32.59
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-1_sample-3__model.cif,7.74,4.23,32.73
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-1_sample-4__model.cif,7.61,4.16,32.63
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-20_sample-0__model.cif,7.83,4.21,31.0
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-20_sample-1__model.cif,7.61,4.17,32.87
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-20_sample-2__model.cif,7.53,4.15,31.05
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-20_sample-3__model.cif,7.77,4.13,32.52
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-20_sample-4__model.cif,7.7,4.18,32.57
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-21_sample-0__model.cif,7.69,4.31,32.75
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-21_sample-1__model.cif,7.82,4.41,30.97
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-21_sample-2__model.cif,7.79,4.35,31.2
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-21_sample-3__model.cif,7.84,4.37,32.66
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-21_sample-4__model.cif,7.79,4.41,30.93
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-22_sample-0__model.cif,7.75,4.28,32.38
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-22_sample-1__model.cif,7.61,4.24,32.66
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-22_sample-2__model.cif,7.67,4.25,30.98
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-22_sample-3__model.cif,7.69,4.14,31.31
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-22_sample-4__model.cif,7.49,4.15,32.68
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-23_sample-0__model.cif,7.65,4.23,32.42
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-23_sample-1__model.cif,7.68,4.21,32.86
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-23_sample-2__model.cif,7.67,4.12,32.78
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-23_sample-3__model.cif,7.66,4.13,32.52
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-23_sample-4__model.cif,7.68,4.14,32.39
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-24_sample-0__model.cif,7.82,4.29,30.85
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-24_sample-1__model.cif,7.68,4.15,32.5
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-24_sample-2__model.cif,7.7,4.31,32.86
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-24_sample-3__model.cif,7.62,4.26,32.85
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-24_sample-4__model.cif,7.76,4.27,30.98
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-25_sample-0__model.cif,7.61,4.18,30.82
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-25_sample-1__model.cif,7.73,4.24,31.03
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-25_sample-2__model.cif,7.81,4.3,32.36
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-25_sample-3__model.cif,7.76,4.4,32.78
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-25_sample-4__model.cif,7.77,4.28,32.77
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-2_sample-0__model.cif,7.8,4.24,30.98
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-2_sample-1__model.cif,7.7,4.2,32.49
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-2_sample-2__model.cif,7.7,4.19,32.66
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-2_sample-3__model.cif,7.78,4.2,32.45
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-2_sample-4__model.cif,7.76,4.28,31.13
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-3_sample-0__model.cif,7.53,4.23,31.05
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-3_sample-1__model.cif,7.58,4.23,32.87
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-3_sample-2__model.cif,7.72,4.19,32.51
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-3_sample-3__model.cif,7.65,4.2,30.9
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-3_sample-4__model.cif,7.62,4.16,31.32
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-4_sample-0__model.cif,7.65,4.3,30.95
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-4_sample-1__model.cif,7.56,4.19,31.05
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-4_sample-2__model.cif,7.73,4.1,32.78
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-4_sample-3__model.cif,7.66,4.19,32.36
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-4_sample-4__model.cif,7.64,4.23,32.66
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-5_sample-0__model.cif,7.83,4.3,32.68
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-5_sample-1__model.cif,7.6,4.11,32.89
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-5_sample-2__model.cif,7.76,4.19,32.67
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-5_sample-3__model.cif,7.64,4.21,32.64
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-5_sample-4__model.cif,7.67,4.19,32.86
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-6_sample-0__model.cif,7.67,4.33,32.83
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-6_sample-1__model.cif,7.63,4.2,30.99
uba1_aden_ub75_no_ube2w,uba1_aden_ub75_no_ube2w__seed-6_sample-2__model.cif,7.74,4.16,32.86
